,symbol,timestamp,timestamp_str,open,high,low,close,volume
0,QTUMUSDT,1631667600000,2021-09-15 08:00:00,12.68,12.751,12.582,12.604,86406.9
1,QTUMUSDT,1631671200000,2021-09-15 09:00:00,12.604,12.692,12.581,12.633,77666.2
2,QTUMUSDT,1631674800000,2021-09-15 10:00:00,12.634,12.657,12.553,12.586,94969.9
3,QTUMUSDT,1631678400000,2021-09-15 11:00:00,12.575,12.593,12.481,12.494,80384.5
4,QTUMUSDT,1631682000000,2021-09-15 12:00:00,12.495,12.68,12.441,12.624,39892.8
5,QTUMUSDT,1631685600000,2021-09-15 13:00:00,12.624,12.643,12.519,12.603,68757.8
6,QTUMUSDT,1631689200000,2021-09-15 14:00:00,12.617,12.696,12.571,12.678,57512.2
7,QTUMUSDT,1631692800000,2021-09-15 15:00:00,12.681,12.75,12.597,12.617,45736.5
8,QTUMUSDT,1631696400000,2021-09-15 16:00:00,12.615,12.668,12.582,12.594,23416.8
9,QTUMUSDT,1631700000000,2021-09-15 17:00:00,12.594,12.784,12.594,12.741,37629.9
10,QTUMUSDT,1631703600000,2021-09-15 18:00:00,12.741,12.747,12.645,12.71,38995.7
11,QTUMUSDT,1631707200000,2021-09-15 19:00:00,12.711,12.76,12.584,12.612,44225.7
12,QTUMUSDT,1631710800000,2021-09-15 20:00:00,12.61,12.829,12.6,12.815,82247.2
13,QTUMUSDT,1631714400000,2021-09-15 21:00:00,12.817,12.873,12.716,12.758,87377.4
14,QTUMUSDT,1631718000000,2021-09-15 22:00:00,12.767,12.992,12.748,12.97,110049.6
15,QTUMUSDT,1631721600000,2021-09-15 23:00:00,12.968,13.031,12.922,12.939,60621.6
16,QTUMUSDT,1631725200000,2021-09-16 00:00:00,12.945,13.006,12.931,12.949,28206.1
17,QTUMUSDT,1631728800000,2021-09-16 01:00:00,12.96,12.979,12.871,12.948,28753.3
18,QTUMUSDT,1631732400000,2021-09-16 02:00:00,12.945,12.96,12.877,12.914,29606.9
19,QTUMUSDT,1631736000000,2021-09-16 03:00:00,12.912,12.998,12.867,12.876,33646.0
20,QTUMUSDT,1631739600000,2021-09-16 04:00:00,12.878,13.02,12.878,12.98,32286.5
21,QTUMUSDT,1631743200000,2021-09-16 05:00:00,12.988,13.059,12.976,13.048,30402.0
22,QTUMUSDT,1631746800000,2021-09-16 06:00:00,13.056,13.098,12.95,13.04,41336.0
23,QTUMUSDT,1631750400000,2021-09-16 07:00:00,13.042,13.086,12.835,12.845,80983.9
24,QTUMUSDT,1631754000000,2021-09-16 08:00:00,12.839,12.974,12.83,12.893,42105.8
25,QTUMUSDT,1631757600000,2021-09-16 09:00:00,12.899,12.964,12.772,12.821,35689.2
26,QTUMUSDT,1631761200000,2021-09-16 10:00:00,12.827,12.836,12.57,12.685,89763.6
27,QTUMUSDT,1631764800000,2021-09-16 11:00:00,12.682,12.895,12.665,12.833,50230.1
28,QTUMUSDT,1631768400000,2021-09-16 12:00:00,12.833,12.87,12.773,12.787,26661.2
29,QTUMUSDT,1631772000000,2021-09-16 13:00:00,12.786,12.833,12.755,12.8,35666.5
30,QTUMUSDT,1631775600000,2021-09-16 14:00:00,12.8,12.912,12.78,12.877,38177.3
31,QTUMUSDT,1631779200000,2021-09-16 15:00:00,12.877,12.888,12.73,12.781,61934.3
32,QTUMUSDT,1631782800000,2021-09-16 16:00:00,12.781,12.893,12.738,12.739,47457.5
33,QTUMUSDT,1631786400000,2021-09-16 17:00:00,12.739,12.816,12.636,12.663,42874.2
34,QTUMUSDT,1631790000000,2021-09-16 18:00:00,12.664,12.778,12.663,12.725,36524.9
35,QTUMUSDT,1631793600000,2021-09-16 19:00:00,12.719,12.88,12.675,12.797,51141.2
36,QTUMUSDT,1631797200000,2021-09-16 20:00:00,12.803,13.197,12.668,12.737,293066.3
37,QTUMUSDT,1631800800000,2021-09-16 21:00:00,12.721,12.832,12.509,12.696,139031.7
38,QTUMUSDT,1631804400000,2021-09-16 22:00:00,12.696,12.876,12.625,12.81,45863.6
39,QTUMUSDT,1631808000000,2021-09-16 23:00:00,12.808,12.97,12.763,12.766,86378.8
40,QTUMUSDT,1631811600000,2021-09-17 00:00:00,12.766,12.891,12.636,12.636,72595.6
41,QTUMUSDT,1631815200000,2021-09-17 01:00:00,12.635,12.784,12.627,12.746,32088.5
42,QTUMUSDT,1631818800000,2021-09-17 02:00:00,12.755,12.832,12.722,12.733,21066.6
43,QTUMUSDT,1631822400000,2021-09-17 03:00:00,12.719,12.781,12.47,12.524,58093.2
44,QTUMUSDT,1631826000000,2021-09-17 04:00:00,12.531,12.725,12.505,12.723,20283.0
45,QTUMUSDT,1631829600000,2021-09-17 05:00:00,12.723,12.743,12.615,12.729,35784.6
46,QTUMUSDT,1631833200000,2021-09-17 06:00:00,12.741,12.758,12.646,12.672,27760.0
47,QTUMUSDT,1631836800000,2021-09-17 07:00:00,12.676,12.777,12.542,12.544,39800.5
48,QTUMUSDT,1631840400000,2021-09-17 08:00:00,12.543,12.753,12.5,12.711,56464.2
49,QTUMUSDT,1631844000000,2021-09-17 09:00:00,12.718,12.725,12.531,12.549,25177.3
50,QTUMUSDT,1631847600000,2021-09-17 10:00:00,12.554,12.668,12.536,12.618,31731.3
51,QTUMUSDT,1631851200000,2021-09-17 11:00:00,12.646,12.726,12.547,12.676,30198.5
52,QTUMUSDT,1631854800000,2021-09-17 12:00:00,12.697,12.976,12.697,12.89,113199.3
53,QTUMUSDT,1631858400000,2021-09-17 13:00:00,12.893,12.916,12.718,12.842,44497.7
54,QTUMUSDT,1631862000000,2021-09-17 14:00:00,12.832,12.897,12.706,12.772,85182.3
55,QTUMUSDT,1631865600000,2021-09-17 15:00:00,12.772,13.069,12.708,12.978,171389.3
56,QTUMUSDT,1631869200000,2021-09-17 16:00:00,12.981,13.057,12.814,12.853,93837.2
57,QTUMUSDT,1631872800000,2021-09-17 17:00:00,12.852,12.867,12.342,12.473,315575.2
58,QTUMUSDT,1631876400000,2021-09-17 18:00:00,12.471,12.589,12.353,12.422,87254.8
59,QTUMUSDT,1631880000000,2021-09-17 19:00:00,12.418,12.504,12.26,12.484,88540.2
60,QTUMUSDT,1631883600000,2021-09-17 20:00:00,12.478,12.509,12.317,12.414,103938.1
61,QTUMUSDT,1631887200000,2021-09-17 21:00:00,12.4,12.848,12.378,12.815,142156.8
62,QTUMUSDT,1631890800000,2021-09-17 22:00:00,12.807,12.892,12.668,12.743,109744.5
63,QTUMUSDT,1631894400000,2021-09-17 23:00:00,12.752,12.816,12.629,12.76,101680.9
64,QTUMUSDT,1631898000000,2021-09-18 00:00:00,12.765,12.839,12.536,12.584,148892.0
65,QTUMUSDT,1631901600000,2021-09-18 01:00:00,12.575,12.605,12.384,12.525,115653.5
66,QTUMUSDT,1631905200000,2021-09-18 02:00:00,12.525,12.608,12.458,12.594,22969.1
67,QTUMUSDT,1631908800000,2021-09-18 03:00:00,12.605,12.615,12.366,12.374,28743.1
68,QTUMUSDT,1631912400000,2021-09-18 04:00:00,12.365,12.468,12.314,12.467,37499.5
69,QTUMUSDT,1631916000000,2021-09-18 05:00:00,12.468,12.571,12.32,12.326,40587.4
70,QTUMUSDT,1631919600000,2021-09-18 06:00:00,12.336,12.511,12.304,12.496,32585.5
71,QTUMUSDT,1631923200000,2021-09-18 07:00:00,12.496,12.499,12.272,12.426,53178.8
72,QTUMUSDT,1631926800000,2021-09-18 08:00:00,12.433,12.5,12.393,12.485,45997.3
73,QTUMUSDT,1631930400000,2021-09-18 09:00:00,12.486,12.543,12.448,12.493,32738.0
74,QTUMUSDT,1631934000000,2021-09-18 10:00:00,12.491,12.587,12.485,12.567,20724.9
75,QTUMUSDT,1631937600000,2021-09-18 11:00:00,12.574,12.69,12.567,12.659,46767.1
76,QTUMUSDT,1631941200000,2021-09-18 12:00:00,12.664,12.797,12.598,12.773,79119.0
77,QTUMUSDT,1631944800000,2021-09-18 13:00:00,12.775,12.821,12.674,12.766,70963.9
78,QTUMUSDT,1631948400000,2021-09-18 14:00:00,12.766,12.777,12.693,12.73,36951.3
79,QTUMUSDT,1631952000000,2021-09-18 15:00:00,12.733,12.8,12.677,12.69,39130.7
80,QTUMUSDT,1631955600000,2021-09-18 16:00:00,12.69,12.75,12.607,12.66,35910.6
81,QTUMUSDT,1631959200000,2021-09-18 17:00:00,12.653,12.738,12.643,12.659,32747.1
82,QTUMUSDT,1631962800000,2021-09-18 18:00:00,12.658,12.739,12.505,12.57,42882.3
83,QTUMUSDT,1631966400000,2021-09-18 19:00:00,12.572,12.689,12.515,12.569,44908.8
84,QTUMUSDT,1631970000000,2021-09-18 20:00:00,12.569,12.619,12.504,12.558,56065.2
85,QTUMUSDT,1631973600000,2021-09-18 21:00:00,12.558,12.739,12.545,12.677,146386.7
86,QTUMUSDT,1631977200000,2021-09-18 22:00:00,12.664,12.701,12.58,12.655,36694.6
87,QTUMUSDT,1631980800000,2021-09-18 23:00:00,12.655,12.693,12.5,12.528,38697.0
88,QTUMUSDT,1631984400000,2021-09-19 00:00:00,12.509,12.573,12.465,12.552,27259.9
89,QTUMUSDT,1631988000000,2021-09-19 01:00:00,12.552,12.619,12.492,12.518,34623.4
90,QTUMUSDT,1631991600000,2021-09-19 02:00:00,12.508,12.529,12.43,12.507,46921.6
91,QTUMUSDT,1631995200000,2021-09-19 03:00:00,12.507,12.507,12.32,12.38,99734.5
92,QTUMUSDT,1631998800000,2021-09-19 04:00:00,12.367,12.439,12.361,12.369,31394.8
93,QTUMUSDT,1632002400000,2021-09-19 05:00:00,12.368,12.528,12.359,12.528,45713.9
94,QTUMUSDT,1632006000000,2021-09-19 06:00:00,12.528,12.576,12.45,12.549,51202.9
95,QTUMUSDT,1632009600000,2021-09-19 07:00:00,12.552,12.591,12.367,12.373,35610.2
96,QTUMUSDT,1632013200000,2021-09-19 08:00:00,12.362,12.45,12.33,12.445,24043.2
97,QTUMUSDT,1632016800000,2021-09-19 09:00:00,12.44,12.457,12.377,12.443,23085.1
98,QTUMUSDT,1632020400000,2021-09-19 10:00:00,12.436,12.466,12.349,12.36,13973.4
99,QTUMUSDT,1632024000000,2021-09-19 11:00:00,12.358,12.441,12.34,12.381,29190.4
100,QTUMUSDT,1632027600000,2021-09-19 12:00:00,12.385,12.515,12.355,12.494,65536.4
101,QTUMUSDT,1632031200000,2021-09-19 13:00:00,12.483,12.506,12.417,12.485,16225.5
102,QTUMUSDT,1632034800000,2021-09-19 14:00:00,12.492,12.532,12.395,12.46,37491.9
103,QTUMUSDT,1632038400000,2021-09-19 15:00:00,12.462,12.53,12.45,12.507,25349.9
104,QTUMUSDT,1632042000000,2021-09-19 16:00:00,12.507,12.562,12.459,12.48,27794.9
105,QTUMUSDT,1632045600000,2021-09-19 17:00:00,12.487,12.509,12.442,12.451,20604.7
106,QTUMUSDT,1632049200000,2021-09-19 18:00:00,12.45,12.45,12.065,12.172,156803.6
107,QTUMUSDT,1632052800000,2021-09-19 19:00:00,12.169,12.259,12.096,12.187,81906.0
108,QTUMUSDT,1632056400000,2021-09-19 20:00:00,12.189,12.262,12.166,12.236,24806.5
109,QTUMUSDT,1632060000000,2021-09-19 21:00:00,12.233,12.347,12.218,12.309,33021.8
110,QTUMUSDT,1632063600000,2021-09-19 22:00:00,12.301,12.419,12.276,12.359,21071.4
111,QTUMUSDT,1632067200000,2021-09-19 23:00:00,12.358,12.398,12.272,12.288,29719.7
112,QTUMUSDT,1632070800000,2021-09-20 00:00:00,12.289,12.355,12.247,12.277,25658.0
113,QTUMUSDT,1632074400000,2021-09-20 01:00:00,12.281,12.399,12.241,12.36,20646.1
114,QTUMUSDT,1632078000000,2021-09-20 02:00:00,12.348,12.372,12.207,12.225,19377.8
115,QTUMUSDT,1632081600000,2021-09-20 03:00:00,12.217,12.346,12.189,12.338,19904.5
116,QTUMUSDT,1632085200000,2021-09-20 04:00:00,12.337,12.362,12.278,12.327,23588.0
117,QTUMUSDT,1632088800000,2021-09-20 05:00:00,12.327,12.386,11.967,12.062,82320.6
118,QTUMUSDT,1632092400000,2021-09-20 06:00:00,12.051,12.175,12.024,12.17,38640.2
119,QTUMUSDT,1632096000000,2021-09-20 07:00:00,12.175,12.175,11.701,11.831,96743.0
120,QTUMUSDT,1632099600000,2021-09-20 08:00:00,11.823,11.941,11.774,11.923,41054.5
121,QTUMUSDT,1632103200000,2021-09-20 09:00:00,11.92,11.929,11.373,11.46,154911.2
122,QTUMUSDT,1632106800000,2021-09-20 10:00:00,11.444,11.521,11.17,11.324,115969.4
123,QTUMUSDT,1632110400000,2021-09-20 11:00:00,11.32,11.499,11.232,11.439,61603.5
124,QTUMUSDT,1632114000000,2021-09-20 12:00:00,11.436,11.5,11.394,11.465,32094.5
125,QTUMUSDT,1632117600000,2021-09-20 13:00:00,11.483,11.499,11.27,11.375,55772.7
126,QTUMUSDT,1632121200000,2021-09-20 14:00:00,11.367,11.425,10.842,10.971,257201.8
127,QTUMUSDT,1632124800000,2021-09-20 15:00:00,10.97,11.188,10.9,11.157,83779.6
128,QTUMUSDT,1632128400000,2021-09-20 16:00:00,11.157,11.172,10.951,10.988,61310.7
129,QTUMUSDT,1632132000000,2021-09-20 17:00:00,10.986,11.137,10.813,10.87,155093.6
130,QTUMUSDT,1632135600000,2021-09-20 18:00:00,10.87,10.889,10.274,10.546,258942.2
131,QTUMUSDT,1632139200000,2021-09-20 19:00:00,10.546,10.632,9.905,10.485,349696.7
132,QTUMUSDT,1632142800000,2021-09-20 20:00:00,10.486,10.745,10.313,10.734,271945.0
133,QTUMUSDT,1632146400000,2021-09-20 21:00:00,10.735,10.743,10.532,10.63,92062.8
134,QTUMUSDT,1632150000000,2021-09-20 22:00:00,10.629,10.852,10.478,10.806,161569.6
135,QTUMUSDT,1632153600000,2021-09-20 23:00:00,10.793,11.05,10.773,10.802,127148.8
136,QTUMUSDT,1632157200000,2021-09-21 00:00:00,10.813,10.955,10.783,10.921,45504.5
137,QTUMUSDT,1632160800000,2021-09-21 01:00:00,10.928,10.945,10.554,10.608,87715.9
138,QTUMUSDT,1632164400000,2021-09-21 02:00:00,10.612,10.719,10.412,10.706,137165.1
139,QTUMUSDT,1632168000000,2021-09-21 03:00:00,10.697,10.75,10.449,10.545,97514.5
140,QTUMUSDT,1632171600000,2021-09-21 04:00:00,10.558,10.737,10.532,10.617,61030.6
141,QTUMUSDT,1632175200000,2021-09-21 05:00:00,10.616,10.802,10.508,10.536,40671.6
